id,s1_cis,t1_cis,exchange_integral,dsp_scf,dsp_cis,homo_lumo_overlap,oscillator_strength,run_time,smiles,s1_ref,t1_ref,t1_s1_ref,oscillator_strength_ref
147,0.03923399,0.0337357,0.004868918,-0.014691877,-0.010318711,0.323175011,0.010411482,0.028250764,C#CC1=CC=C2C=CN=C3N=CC=C1N23,1.532167,1.681426,-0.149259,0.005722
148,0.039180669,0.033690848,0.004642787,-0.014291602,-0.010050058,0.310086589,0.010176144,0.029205424,C#CC1=CN=C2N=CC=C3C=CC=C1N23,1.55642,1.707537,-0.151117,0.000601
149,0.039803925,0.034403937,0.005228638,-0.013587801,-0.009578241,0.316069986,0.009553412,0.022796974,[C-]#[N+]C1=CC2=CC=NC3=NC=CC(=C1)N23,1.446965,1.57349,-0.126525,0.00474
150,0.039919346,0.034452407,0.00424441,-0.015257537,-0.010708399,0.294870409,0.012026235,0.036043415,[C-]#[N+]C1=CC2=CC=CC3=CC=NC(=N1)N23,1.510023,1.649476,-0.139453,0.003326
151,0.039735881,0.034209658,0.004794749,-0.01490104,-0.010462649,0.31742707,0.010096712,0.026183525,[C-]#[N+]C1=CC=C2C=CN=C3N=CC=C1N23,1.522848,1.672926,-0.150078,0.005055
152,0.039397312,0.03393521,0.004665478,-0.014378263,-0.010112526,0.312543799,0.01014948,0.028001512,[C-]#[N+]C1=CN=C2N=CC=C3C=CC=C1N23,1.552499,1.705106,-0.152607,0.000686
153,0.037590138,0.031423063,0.005954503,-0.013434072,-0.009488356,0.337010382,0.011292866,0.023241424,N#CC1=CC2=CC=NC3=NC=CC(=C1)N23,1.366863,1.445632,-0.078769,0.006234
154,0.039238343,0.033443855,0.004330736,-0.015133948,-0.010620291,0.324825483,0.010803401,0.028827902,N#CC1=CC2=CC=CC3=CC=NC(=N1)N23,1.449046,1.555462,-0.106416,0.002377
155,0.040742228,0.035629825,0.004201805,-0.01521559,-0.010674894,0.304918899,0.009301298,0.029201743,N#CC1=CC=C2C=CN=C3N=CC=C1N23,1.594927,1.744732,-0.149805,0.00499
156,0.04146827,0.035843302,0.004771964,-0.014373541,-0.010109104,0.315093029,0.010559968,0.02933777,N#CC1=CN=C2N=CC=C3C=CC=C1N23,1.650613,1.800434,-0.149821,0.000528
157,0.045729177,0.041890955,0.003223781,-0.015864685,-0.011071767,0.237616689,0.006603149,0.019837544,CN(C)C1=CC2=CC=NC3=NC=CC(=C1)N23,1.88485,2.056214,-0.171364,0.000292
158,0.04764504,0.039428163,0.005638472,-0.014787912,-0.010425964,0.355113745,0.015598634,0.025019703,CN(C)C1=CC2=CC=CC3=CC=NC(=N1)N23,1.886997,1.952595,-0.065598,0.016735
159,0.040170791,0.032980209,0.005309461,-0.014619805,-0.010283511,0.353543386,0.01070873,0.027387312,CN(C)C1=CC=C2C=CN=C3N=CC=C1N23,1.482487,1.596908,-0.114421,0.004265
160,0.039917468,0.033218131,0.004810122,-0.01472756,-0.010353587,0.325241066,0.009651777,0.027460634,CN(C)C1=CN=C2N=CC=C3C=CC=C1N23,1.475047,1.596678,-0.121631,0.002254
161,0.055498764,0.046425399,0.006882768,-0.013451131,-0.009517438,0.352171042,0.015214856,0.023725688,CC1=CC2=CC=NC3=NC=NC(=C1)N23,1.90304,2.043615,-0.140575,0.003283
162,0.055994313,0.046279405,0.007091523,-0.013424552,-0.009505107,0.361369188,0.015961798,0.020946226,CC1=NC2=NC=NC3=CC=CC(=C1)N23,1.916776,2.043854,-0.127078,0.00683
163,0.055312441,0.0462586,0.00670993,-0.013735272,-0.009710581,0.34911227,0.014664576,0.020910651,CC1=NC2=CC=CC3=CC=NC(=N1)N23,1.898276,2.023471,-0.125195,0.004787
164,0.054092668,0.04570345,0.006773742,-0.013836821,-0.00977399,0.34193519,0.015148337,0.020259124,CC1=CC=C2N=CN=C3N=CC=C1N23,1.827283,1.953825,-0.126542,0.004217
165,0.057476004,0.046647296,0.007166372,-0.013049643,-0.009254759,0.390226465,0.015581749,0.020918876,CC1=CC=C2C=CN=C3N=CN=C1N23,1.893715,1.990036,-0.096321,0.004218
166,0.057005978,0.046367881,0.007099679,-0.013141336,-0.009317152,0.382761392,0.015652826,0.022300353,CC1=CN=C2N=CN=C3C=CC=C1N23,1.889358,1.989054,-0.099696,0.004779
167,0.060414631,0.053371126,0.005219895,-0.014175276,-0.00996393,0.303787894,0.010587905,0.023207801,NC1=CC2=CC=NC3=NC=NC(=C1)N23,2.177311,2.329036,-0.151725,0.000651
168,0.059748087,0.050098571,0.007736622,-0.013703274,-0.009717422,0.382651995,0.022790797,0.02136379,NC1=NC2=NC=NC3=CC=CC(=C1)N23,2.135117,2.22141,-0.086293,0.016788
169,0.061855146,0.050025343,0.008390794,-0.012828486,-0.009138487,0.368982297,0.026178808,0.022955064,NC1=NC2=CC=CC3=CC=NC(=N1)N23,2.200547,2.225326,-0.024779,0.023496
170,0.050893101,0.040572089,0.008642118,-0.012396462,-0.00879135,0.400517876,0.019162332,0.02221524,NC1=CC=C2N=CN=C3N=CC=C1N23,1.672478,1.738826,-0.066348,0.007726
171,0.058571039,0.041725411,0.009721573,-0.010627766,-0.007600471,0.508659423,0.020751096,0.024472193,NC1=CC=C2C=CN=C3N=CN=C1N23,1.790721,1.749767,0.040954,0.008999
172,0.056522993,0.042587708,0.007874034,-0.011354393,-0.008105441,0.424462452,0.018246168,0.024139117,NC1=CN=C2N=CN=C3C=CC=C1N23,1.809667,1.832669,-0.023002,0.006401
173,0.06162848,0.054249583,0.005098579,-0.014051615,-0.009879104,0.318328406,0.009915517,0.022811783,CNC1=CC2=CC=NC3=NC=NC(=C1)N23,2.226528,2.362439,-0.135911,0.000701
174,0.059751377,0.050022619,0.007643338,-0.013750674,-0.009748805,0.380455941,0.021967778,0.025357905,CNC1=NC2=NC=NC3=CC=CC(=C1)N23,2.144885,2.214385,-0.0695,0.0189
175,0.062210283,0.050061362,0.008335988,-0.012799566,-0.009119659,0.37174681,0.025671508,0.023431741,CNC1=NC2=CC=CC3=CC=NC(=N1)N23,2.233835,2.239249,-0.005414,0.025277
